原形	所属形（短形）	所属形（長形）	意味
otop	otopi	otopihi	髪
oka	okake	okakehe	後
ous	osui	osuke	麓
aoypep	oypepi	oypepihi	食器
paenrum	paenrumi	paenrumihi	口の先端
pahaw	pahawe	pahawehe	噂
pakisar	pakisara	pakisaraha	口角
pana	panake	panakehe	川下
panikkew	panikkewe	panikkewehe	腰下
par	paro	paroho	口
paratek	parateke	paratekehe	手首より先
parir	pariri	paririhi	煙
parunpe	parunpe	parunpehe	舌
parur	parurke	parurkehe	縁
paspas	paspasi	paspasihi	消し炭
patoy	patoye	patoyehe	唇
paypor	payporo	payporoho	唇色
pe	pe	pehe	水気
pena	penake		川上
penram	penramu	penramuhu	胸
penrekut	penrekuci	penrekucihi	首の前側
petetok	petetoko	petetokoho	水源地
petutur	petuturu	petuturuhu	川と川の間
pi	piye	piyehe	小石
pir	piri	pirihi	傷
po	po	poho	子
pokinkap	pokinkapu	pokinkapuhu	内皮
pokisir	pokisirke		股下
poksapa	poksapa	poksapaha	陰茎亀頭
pone	pone	ponehe	骨
ponmat	ponmaci	ponmacihi	妾
punkar	punkari	punkarihi	蔓
pus	pusi	pusihi	穂
put	putu	putuhu	河口
puta	puta	putaha	蓋
puy	puye	puyehe	穴
raciw	raciwe	raciwehe	眉形
ram	ramu	ramuhu	心
ramat	ramatu	ramatuhu	魂
ramat	ramaci	ramacihi	魂
ramram	ramrami	ramramihi	鱗
rantupep	rantupepi	rantupepihi	顎紐
rap	rapu	rapuhu	羽
rapok	rapoki	rapokke	途中
rar	raru	raruhu	眉
rarutur	raruturu	raruturuhu	眉間
rat	raci	racihi	痰
raykew	raykewe	raykewehe	屍体
re	re	rehe	名
rek	reki	rekihi	髭
rekkisar	rekkisara	rekkisaraha	揉み上げ
rekut	rekuci	rekucihi	喉
reprepke	repkehe		沖
rerar	rerari	rerarihi	乳房
retarsiknum	retarsiknumi	retarsiknumihi	白目
rewka	rewkasi	rewkaske	曲がった上
rewkurka	rewkurkasi		曲がった上面一帯
rewkurpok	rewkurpoki		曲がった下面一帯
rit	rici	ricihi	筋
ror	rorke	rorkehe	上座
ru	ruwe	ruwehe	道
rukum	rukumi	rukumihi	短棒
runum	runumi	runumihi	豆
runumnep	runumnepi	runumnepihi	豆
rup	rupi	rupihi	列群
rur	ruri	rurihi	汁
rus	rusi	rusihi	毛皮
ruwoka	ruwokake		死後
ruwor	ruworo		低地
sa	sa	saha	姉
sa	sake	sakehe	節
sakanram	sakanrami	sakanramihi	短気
saksamaw	saksamawe	saksamawehe	悪臭
sam	sama	samaha	側
sam	samake	samakehe	側
san	sani		子孫
sankemat	sankemaci	sankemacihi	正妻
sanpe	sanpe	sanpehe	心臓
sanpepok	sanpepoki		鳩尾
santek	santeke	santekehe	世継ぎ
sapa	sapa	sapaha	頭
saparus	saparusi	saparusihi	剥けた頭皮
sapikir	sapikiri	sapikirihi	血統
sar	sara	saraha	尾
sar	sari	sarihi	葦原
satairwak	satairwaki	satairwakihi	従兄弟姉妹
say	saye	sayehe	首飾り
say	sayke	saykehe	群
sempir	sempiri	sempirke	陰
ser	seri	serihi	布幅
ser	sere	serke	部分
sermak	sermaka	sermakaha	背後
setur	seturu	seturuhu	背中
sik	siki	sikihi	目
sikay	sikaye	sikayehe	目釘
sikkap	sikkapu	sikkapuhu	瞼
sikkes	sikkese	sikkesehe	目尻
siknum	siknumi	siknumihi	目玉
sikokes	sikokese	sikokesehe	目尻
sikpuy	sikpuye	sikpuyehe	目元
sikramat	sikramaci	sikramacihi	瞳
sikrap	sikrapu	sikrapuhu	睫毛
simontek	simonteke	simontekehe	右手
símoysam	símoysama		右側
sinrit	sinrici	sinricihi	根・先祖
sirka	sirkasi	sirkaske	地上
sirpok	sirpoki	sirpokke	布裏
sittokew	sittokewe	sittokewehe	肘
sittok	sittoki	sittokihi	肘
siyetok	siyetoko	siyetokoho	自分の前方
siyosmak	siyosmake		自分の背後
sos	sosi	sosihi	薄片
sowsut	sowsutu	sowsutuhu	隅
soy	soyke	soykehe	外
soyna	soynake		外側
sum	sumi	sumihi	油脂
sumaw	sumawe	sumawehe	殺した熊
sut	suci	sucihi	祖母
sut	sutu	sutuhu	根元
tapcikir	tapcikiri	tapcikirihi	前足
tapka	tapkasi		頂上
tapsut	tapsutu	tapsutuhu	肩
tas	tasu		呼気
tek	teke	tekehe	手
tekkotor	tekkotoro	tekkotoroho	掌
tekmekka	tekmekkasi		手の甲側
tekrukot	tekrukoci	tekrukocihi	手形
teksam	teksama	teksamaha	横
tektuypok	tektuypoki		掌側
tekukot	tekukoci	tekukocihi	手首
tem	temi	temihi	手の長さ
temsut	temsutu	temsutuhu	腕の付け根
ter	teri	terihi	粘液
to	to	toho	昼間
tokuy	tokuye	tokuyehe	親友
tononmimak	tononmimaki	tononmimakihi	前歯
tottonum	tottonumi	tottonumihi	乳首
tom	tomo		中程
tum	tumu	tumuke	中
tum	tumuke	tumukehe	中
tum	tumi	tumihi	力
tumam	tumama	tumamaha	胴
tupep	tupepi	tupepihi	顎紐
tur	turi	turihi	垢
tures	turesi	turesihi	妹（兄から見た）
tus	tusi	tusihi	妾（本妻から見た）
tusatuypok	tusatuypoki		袖下
tuy	tuye	tuyehe	魚腸
tuyka	tuykasi	tuykaske	上端
ukowtur	ukowturu	ukowturuhu	間
unarpe	unarpe	unarpehe	おば
uni	uni	unihi	家
unu	unu	unuhu	母親
up	upi	upihi	白子
upsor	upsoro	upsoroho	懐
ure	ure	urehe	足
ureous	ureousi	ureousihi	足元
ureasam	ureasama	ureasamaha	足の裏
urekot	urekoci	urekocihi	足跡
urekotor	urekotoro	urekotoroho	足の裏
uremekka	uremekkasi		足の甲側
urencikir	urencikiri	urencikirihi	両足
urenpiskan	urenpiskani	urenpiskanike	両側
urentapcikir	urentapcikiri	urentapcikirihi	両前足
urentek	urenteki	urentekihi	両手
urepet	urepeci	urepecihi	足指
usis	usisi	usisihi	蹄
utar	utari	utarihi	人々
utorsam	utorsama		脇
utur	uturu	uturuke	間
utur	uturke	uturkehe	間
útur	úturu	úturuke	下座
útur	úturke	úturkehe	下座
wata	wata	wataha	綿
ya	yake		陸地
yarpok	yarpokke		脇
yatupok	yatupoki	yatupokihi	脇の下
yatupok	yatupokke		脇の下
ye	ye	yehe	膿
yomtekkam	yomtekkami	yomtekkamihi	腿裏
yorpuy	yorpuye	yorpuyehe	肛門
yukram	yukrami	yukramihi	肺
yup	yupi	yupihi	兄
